Perguntas;A;B;C;D;Resposta
Uma aplicação de R$ 2.000,00 a juros compostos de 5% ao mês. Qual o montante após 2 meses?;R$ 2.100,00;R$ 2.150,00;R$ 2.200,00;R$ 2.205,00;D
A soma dos ângulos internos de um polígono é 1.080°. Quantos lados ele tem?;6;7;8;9;C
Um cone tem raio 3 cm e altura 4 cm. Qual é seu volume? (π ≈ 3,14);36,68 cm³;37,68 cm³;38,68 cm³;39,68 cm³;B
Numa PA com primeiro termo 3 e razão 5, qual é o 10° termo?;46;48;50;52;B
A hipotenusa de um triângulo retângulo mede 13 cm e um cateto mede 5 cm. Qual é o outro cateto?;10 cm;11 cm;12 cm;13 cm;C
Um capital de R$ 3.000,00 rendeu R$ 720,00 de juros simples em 8 meses. Qual a taxa mensal?;2,5%;3%;3,5%;4%;B
Quantos termos tem a PA (2, 5, 8, ..., 98)?;31;32;33;34;C
Uma esfera tem raio 6 cm. Qual é seu volume? (π ≈ 3,14);895,32 cm³;904,32 cm³;913,32 cm³;922,32 cm³;B
Numa PG com primeiro termo 2 e razão 3, qual é o 5° termo?;160;162;164;166;B
O discriminante de 2x² - 5x + 3 = 0 é igual a?;1;2;3;4;A
Três torneiras iguais enchem um tanque em 4 horas. Em quanto tempo 6 torneiras encheriam o mesmo tanque?;1h;1h30;2h;2h30;C
Uma circunferência tem área de 314 cm². Qual é seu raio? (π ≈ 3,14);8 cm;9 cm;10 cm;11 cm;C
Se log 2 = 0,301, quanto vale log 8?;0,602;0,903;1,204;1,505;B
Num triângulo, dois ângulos medem 47° e 68°. Qual é o terceiro?;55°;60°;65°;70°;C
Uma função f(x) = 3x² - 2x + 1. Qual é f(2)?;8;9;10;11;B
Quantas diagonais tem um hexágono?;7;8;9;10;C
A soma de uma PA com 10 termos é 155 e o primeiro termo é 2. Qual é a razão?;3;3,5;4;4,5;A
Num triângulo retângulo, sen(30°) = 0,5. Se a hipotenusa é 20 cm, qual é o cateto oposto?;8 cm;9 cm;10 cm;11 cm;C
Resolva: 2^(x+1) = 32. Qual é x?;3;4;5;6;B
Um cilindro tem raio 4 cm e altura 10 cm. Qual é seu volume? (π ≈ 3,14);501,2 cm³;502,4 cm³;503,2 cm³;504,4 cm³;B
